username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Phoenix Rising,312144985,"Hollywood, Los Angeles",2023-01-21 01:01:42,Everybody should be following and watching ScammerPayback. Including @Chase and @Zelle and @Google and @GooglePlay.… https://t.co/q35uyVEdNq,2,Twitter for Android,
Conrad Jon,241373047,"Los Angeles, CA",2023-01-21 00:48:48,One of the 7/11’s in Hollywood blasts classics music all day to keep the homeless away. Savage af😭,0,Twitter for iPhone,
Thank You,487336311,Los Angeles ,2023-01-21 00:40:27,"“This place is the fucking worse, management sucks, it smells like piss and last week a homeless man kicked my dog.… https://t.co/FFC4eFfnrC",0,Twitter for iPhone,
City of Los Angeles,880028463704363008,"Los Angeles, CA",2023-01-21 00:39:20,"The Count takes place January 24-26. Volunteer registration is open at https://t.co/5mmKqfWlxZ.

Pledging your time… https://t.co/LioAmwb9ew",6,Twitter Web App,
Eunisses Hernandez,2799053575,"Los Angeles, CA",2023-01-21 00:32:32,"Hey, fam! Next week is @LAHomeless' Greater Los Angeles Homeless Count. Collecting this data helps LAHSA and its pa… https://t.co/CxlMg1HgU3",3,Twitter Web App,
Marcia Hanscom,34999630,Los Angeles,2023-01-21 00:31:42,@Elex_Michaelson @MayorOfLA @POTUS @JoeBiden @KarenBassLA She's got it right!  I read an article about Hunter Biden… https://t.co/0T9uDI0H87,0,Twitter Web App,
Michael Martinez,488803791,"Los Angeles, CA",2023-01-21 00:28:48,"If you go full libertarian, your streets are going to be lined with drug addicted homeless, your borders are overru… https://t.co/n6kGMg4bnE",0,Twitter Web App,
Ashleyyjanayy,1379259623551557638,"Los Angeles, CA",2023-01-21 00:23:56,i do not bother noneeeee of these homeless ppl …if you wanna dig up all the grass infront of my apartment …so be it… https://t.co/8RaDluyLr1,0,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-21 00:19:29,"Street Medicine Bakersfield: Reaching Homeless People through their Pets
https://t.co/vz8C54gFL7",3,Twitter for iPhone,
Mark Horvath,14595574,Los Angeles,2023-01-21 00:19:19,"Street Medicine Bakersfield: Reaching Homeless People through their Pets
https://t.co/gdS6qlpgjm",2,Twitter for iPhone,
